road,num_properties,insulated_roof,insulated_walls,insulated_windows,insulated_floor,avg_CO2_emissions,avg_energy_consumption,avg_energy_efficiency,good_rating
 Tern Close,56,11,70,100,0,47,264,62,84
 The Meadway,104,14,74,96,3,43,238,64,82
 Thirlmere Avenue,185,8,39,94,1,48,268,62,81
 Tidman Road,69,100,100,100,100,13,75,85,100
 Tilehurst Road,156,40,14,69,12,60,338,56,60
 Tredegar Road,54,6,19,98,20,46,254,60,74
 Upper Redlands Road,53,30,17,49,23,46,268,59,58
 Upper Woodcote Road,56,9,29,84,9,50,287,55,61
 Usk Road,83,13,80,95,0,40,227,67,93
 Waldeck Street,106,5,2,83,0,57,320,58,75
 Wantage Road,109,22,12,80,6,53,309,55,58
 Waverley Road,109,5,9,75,2,55,306,54,52
 Wealden Way,67,4,36,97,0,46,260,64,94
 Wensley Road,169,28,69,99,1,49,274,64,86
 Westfield Road,104,12,1,76,1,60,344,56,66
 Westwood Road,79,14,41,84,14,47,270,58,70
 Whitley Wood Lane,89,13,22,97,2,52,290,57,64
 Whitley Wood Road,150,25,40,95,7,45,255,63,77
 Wilson Road,70,26,1,87,7,64,359,59,73
 Windermere Road,98,62,20,97,3,61,345,60,73
 Winton Road,63,10,62,97,0,48,270,61,83
 Wokingham Road,104,43,10,79,26,50,290,61,66
 Wolseley Street,77,4,1,78,8,57,327,58,71
 Woodcote Road,79,8,28,67,0,51,282,55,59
 Woodcote Way,73,12,30,89,0,49,276,58,67
 Wykeham Road,151,7,5,82,0,54,307,59,80
 York Road,86,9,0,83,2,58,331,58,76
Rembrandt Way,110,100,0,100,23,74,443,61,66
