road,num_properties,properties_roof_insulation,properties_walls_insulation,properties_windows_insulation,properties_floor_insulation,perc_properties_roof_insulation,perc_properties_walls_insulation,perc_properties_windows_insulation,perc_properties_floor_insulation,avg_CO2_emissions,avg_energy_consumption,avg_energy_efficiency,properties_A_rating,properties_B_rating,properties_C_rating,properties_D_rating,properties_E_rating,properties_F_rating,properties_G_rating,perc_properties_A_rating,perc_properties_B_rating,perc_properties_C_rating,perc_properties_D_rating,perc_properties_E_rating,perc_properties_F_rating,perc_properties_G_rating
"FLAT A (RG1, RG2, RG6)",4,4,0,4,0,100,0,100,0,54,312,66,0,0,2,1,1,0,0,0,0,50,25,25,0,0
"FLAT B (RG1, RG2, RG4, RG6)",5,5,2,4,0,100,40,80,0,63,368,63,0,0,2,2,1,0,0,0,0,40,40,20,0,0
FLAT D (RG1),1,1,0,1,0,100,0,100,0,79,466,51,0,0,0,0,1,0,0,0,0,0,0,100,0,0
FLAT E (RG1),1,1,1,1,0,100,100,100,0,33,186,73,0,0,1,0,0,0,0,0,0,100,0,0,0,0
FLAT G (RG1),1,1,0,1,0,100,0,100,0,42,241,68,0,0,0,1,0,0,0,0,0,0,100,0,0,0
FLAT K (RG1),1,1,0,0,0,100,0,0,0,36,204,69,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Fairmaple (RG4),2,0,2,2,0,0,100,100,0,32,184,69,0,0,1,1,0,0,0,0,0,50,50,0,0,0
Finedon (RG4),1,1,0,1,0,100,0,100,0,46,239,58,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Fircroft Close (RG31),2,2,0,2,2,100,0,100,100,24,132,78,0,0,2,0,0,0,0,0,0,100,0,0,0,0
Fobney Street (RG1),20,20,1,17,7,100,5,85,35,33,197,76,0,0,19,1,0,0,0,0,0,95,5,0,0,0
Foley Court (RG1),1,0,0,0,0,0,0,0,0,37,210,62,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Folk House (RG1),2,2,0,0,1,100,0,0,50,43,287,49,0,0,0,0,2,0,0,0,0,0,0,100,0,0
Forbury View (RG1),2,2,0,2,2,100,0,100,100,30,180,68,0,0,0,2,0,0,0,0,0,0,100,0,0,0
Fourways (RG4),1,0,0,1,0,0,0,100,0,47,265,60,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Foxhill Lodge (RG1),2,0,0,1,0,0,0,50,0,88,444,40,0,0,0,0,1,1,0,0,0,0,0,50,50,0
Franklin Street (RG1),13,13,1,11,3,100,8,85,23,43,250,72,0,0,12,1,0,0,0,0,0,92,8,0,0,0
Froomfield (RG2),1,0,0,0,0,0,0,0,0,91,431,25,0,0,0,0,0,1,0,0,0,0,0,0,100,0
Fulmead Road (RG30),2,2,0,2,2,100,0,100,100,22,126,80,0,0,2,0,0,0,0,0,0,100,0,0,0,0
G Arun Court (RG30),2,2,0,2,0,100,0,100,0,54,339,54,0,0,0,1,1,0,0,0,0,0,50,50,0,0
G Tamar Court (RG30),1,1,0,1,0,100,0,100,0,69,389,65,0,0,0,1,0,0,0,0,0,0,100,0,0,0
"GROUND FLOOR FLAT (RG1, RG30)",2,2,0,2,0,100,0,100,0,56,318,64,0,0,0,2,0,0,0,0,0,0,100,0,0,0
Garden Cottage (RG1),1,0,0,1,0,0,0,100,0,59,306,62,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Garfield (RG30),1,0,1,1,0,0,100,100,0,38,230,71,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Gate Lodge (RG6),1,0,0,0,0,0,0,0,0,74,421,39,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Georges Hairdressers (RG30),1,0,0,1,0,0,0,100,0,69,361,43,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Glenrock House (RG30),1,0,0,1,1,0,0,100,100,23,157,70,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Goldsmid Road (RG1),6,6,0,6,3,100,0,100,50,37,210,72,0,0,6,0,0,0,0,0,0,100,0,0,0,0
Goodwyns (RG30),1,0,0,0,0,0,0,0,0,59,303,45,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Gordon Lodge (RG1),1,1,0,1,0,100,0,100,0,35,182,71,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Grange Avenue (RG6),1,0,1,1,1,0,100,100,100,52,313,74,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Great Knollys Street (RG1),3,3,2,3,0,100,67,100,0,35,195,72,0,0,3,0,0,0,0,0,0,100,0,0,0,0
Green Willows (RG30),1,0,0,1,0,0,0,100,0,36,185,65,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Greenwood Cottages (RG30),1,1,0,1,0,100,0,100,0,52,269,56,0,0,0,1,0,0,0,0,0,0,100,0,0,0
"Ground Floor (RG1, RG2, RG30, RG4)",26,24,0,22,0,92,0,85,0,70,434,56,0,0,4,12,7,3,0,0,0,15,46,27,12,0
Ground Floor Annexe (RG4),2,2,0,2,1,100,0,100,50,42,241,72,0,0,2,0,0,0,0,0,0,100,0,0,0,0
Ground Floor Back (RG1),1,1,0,1,0,100,0,100,0,66,414,63,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Ground Floor Front (RG1),1,1,0,1,0,100,0,100,0,92,590,43,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Ground Floor Front Studio (RG1),1,1,0,0,0,100,0,0,0,105,700,25,0,0,0,0,0,1,0,0,0,0,0,0,100,0
Ground Floor Garden Studio (RG1),2,2,0,2,0,100,0,100,0,150,936,32,0,0,0,0,1,1,0,0,0,0,0,50,50,0
Ground Floor Studio (RG30),2,2,0,2,2,100,0,100,100,58,340,77,0,0,2,0,0,0,0,0,0,100,0,0,0,0
Ground Floor Studio (Rear) (RG30),2,2,0,2,2,100,0,100,100,58,340,77,0,0,2,0,0,0,0,0,0,100,0,0,0,0
Ground Floor Studio (rear) (RG30),2,2,0,2,2,100,0,100,100,58,346,76,0,0,2,0,0,0,0,0,0,100,0,0,0,0
Ground floor Studio (RG30),1,1,0,1,1,100,0,100,100,58,340,77,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Grove Barn (RG4),1,1,0,1,1,100,0,100,100,26,147,75,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Grove Cottage (RG1),1,0,0,0,0,0,0,0,0,54,375,45,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Grove Road (RG4),5,5,0,5,0,100,0,100,0,38,219,74,0,0,5,0,0,0,0,0,0,100,0,0,0,0
Grove Villa (RG30),1,0,0,1,0,0,0,100,0,35,183,70,0,0,1,0,0,0,0,0,0,100,0,0,0,0
H Arun Court (RG30),1,1,0,1,0,100,0,100,0,80,471,43,0,0,0,0,1,0,0,0,0,0,0,100,0,0
H Tamar Court (RG30),3,3,0,3,1,100,0,100,33,57,366,45,0,0,0,1,2,0,0,0,0,0,33,67,0,0
HAMELSHAM (RG1),1,0,0,1,0,0,0,100,0,37,207,65,0,0,0,1,0,0,0,0,0,0,100,0,0,0
HAMLET (RG1),1,0,1,1,0,0,100,100,0,29,166,71,0,0,1,0,0,0,0,0,0,100,0,0,0,0
HIGH FIRS (RG4),1,0,0,1,0,0,0,100,0,27,166,71,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Halcyon Terrace (RG30),20,20,0,20,2,100,0,100,10,50,299,72,0,2,13,5,0,0,0,0,10,65,25,0,0,0
Hamilton Road (RG1),4,4,0,4,0,100,0,100,0,58,320,64,0,0,1,3,0,0,0,0,0,25,75,0,0,0
Hamlet (RG1),2,0,0,2,0,0,0,100,0,59,352,48,0,0,0,0,2,0,0,0,0,0,0,100,0,0
Harley Road (RG4),9,9,0,9,0,100,0,100,0,51,305,73,0,0,8,1,0,0,0,0,0,89,11,0,0,0
Harting House (RG4),1,0,0,1,0,0,0,100,0,61,319,48,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Hartland Road (RG2),3,1,1,3,0,33,33,100,0,62,384,62,0,0,0,3,0,0,0,0,0,0,100,0,0,0
Harveys House (RG4),3,0,1,3,1,0,33,100,33,47,246,42,0,0,0,0,2,1,0,0,0,0,0,67,33,0
Havergate Way (RG2),25,23,2,25,19,92,8,100,76,28,162,79,0,10,14,1,0,0,0,0,40,56,4,0,0,0
Heath Point (RG4),2,1,2,2,1,50,100,100,50,21,116,76,0,1,1,0,0,0,0,0,50,50,0,0,0,0
Helena House (RG1),3,3,0,3,0,100,0,100,0,56,314,67,0,0,1,2,0,0,0,0,0,33,67,0,0,0
Hemdean House School (RG4),1,0,0,0,0,0,0,0,0,84,477,37,0,0,0,0,0,1,0,0,0,0,0,0,100,0
Henlena House (RG1),1,1,0,1,0,100,0,100,0,66,376,61,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Hewitt (RG1),1,1,1,1,1,100,100,100,100,18,105,83,0,1,0,0,0,0,0,0,100,0,0,0,0,0
High Ridge (RG4),1,0,0,0,0,0,0,0,0,93,388,26,0,0,0,0,0,1,0,0,0,0,0,0,100,0
Highfield (RG4),1,0,0,1,0,0,0,100,0,66,396,40,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Highview (RG4),1,0,0,1,0,0,0,100,0,35,186,63,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Hilgay (RG4),1,0,1,0,0,0,100,0,0,42,239,61,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Hill House Treetops (RG4),1,0,0,1,1,0,0,100,100,26,134,72,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Hilrus (RG4),2,0,0,2,1,0,0,100,50,34,221,64,0,0,0,2,0,0,0,0,0,0,100,0,0,0
Hogarth Avenue (RG30),3,3,0,0,0,100,0,0,0,70,465,60,0,0,0,3,0,0,0,0,0,0,100,0,0,0
Holme (RG1),1,0,0,1,0,0,0,100,0,49,257,57,0,0,0,1,0,0,0,0,0,0,100,0,0,0
J R News (RG1),1,0,0,1,0,0,0,100,0,69,392,46,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Jackson's Corner (RG1),6,6,6,6,6,100,100,100,100,22,129,76,0,0,6,0,0,0,0,0,0,100,0,0,0,0
Jasmine Cottage (RG4),3,1,0,1,0,33,0,33,0,96,371,32,0,0,0,0,1,2,0,0,0,0,0,33,67,0
Jessica House (RG1),1,1,0,1,1,100,0,100,100,74,416,74,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Jubilee House (RG1),3,1,0,3,2,33,0,100,67,71,410,55,0,0,0,2,1,0,0,0,0,0,67,33,0,0
Junction Cottage (RG30),2,0,2,2,0,0,100,100,0,48,243,48,0,0,0,1,0,1,0,0,0,0,50,0,50,0
Karinga House (RG4),1,0,0,1,0,0,0,100,0,32,183,68,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Katesgrove Lane (RG1),15,15,1,15,13,100,7,100,87,27,157,79,0,3,12,0,0,0,0,0,20,80,0,0,0,0
Kendrick Road (RG1),6,6,0,5,0,100,0,83,0,96,607,50,0,0,0,1,4,1,0,0,0,0,17,67,17,0
Kings Road (RG1),20,20,0,20,11,100,0,100,55,27,161,78,0,7,13,0,0,0,0,0,35,65,0,0,0,0
Lane Cottage (RG4),1,0,0,0,0,0,0,0,0,54,338,40,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Lansdowne Road (RG30),2,2,0,2,0,100,0,100,0,48,264,69,0,0,1,1,0,0,0,0,0,50,50,0,0,0
Leighton Park School (RG2),1,0,0,0,0,0,0,0,0,42,236,62,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Lime Ridge (RG2),2,2,2,2,2,100,100,100,100,18,93,82,0,2,0,0,0,0,0,0,100,0,0,0,0,0
Linnet House (RG2),2,2,2,2,0,100,100,100,0,29,172,79,0,0,2,0,0,0,0,0,0,100,0,0,0,0
Lodge Cottage (RG4),1,0,0,0,0,0,0,0,0,47,279,63,0,0,0,1,0,0,0,0,0,0,100,0,0,0
London Court (RG1),1,1,0,1,0,100,0,100,0,41,245,59,0,0,0,1,0,0,0,0,0,0,100,0,0,0
London Road (RG1),15,15,0,15,1,100,0,100,7,41,239,71,0,0,13,2,0,0,0,0,0,87,13,0,0,0
Lower Ground Floor (RG1),2,2,0,2,0,100,0,100,0,74,465,52,0,0,0,0,2,0,0,0,0,0,0,100,0,0
Lundy Lane (RG30),7,7,0,7,3,100,0,100,43,31,176,75,0,1,6,0,0,0,0,0,14,86,0,0,0,0
Luthrie (RG4),1,0,1,1,0,0,100,100,0,35,198,68,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Lynden Mews (RG2),1,1,0,1,0,100,0,100,0,61,362,71,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Lynmouth Road (RG1),4,4,0,4,2,100,0,100,50,32,178,75,0,0,4,0,0,0,0,0,0,100,0,0,0,0
Lytham Cottage (RG4),1,0,0,0,0,0,0,0,0,59,318,49,0,0,0,0,1,0,0,0,0,0,0,100,0,0
MELROSE COTTAGE (RG1),1,0,0,1,0,0,0,100,0,57,323,55,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Maisonette (RG1),1,1,0,0,0,100,0,0,0,57,297,70,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Mansell Court (RG2),2,2,0,2,0,100,0,100,0,69,389,66,0,0,1,1,0,0,0,0,0,50,50,0,0,0
Maple Lodge (RG4),1,0,0,1,0,0,0,100,0,49,292,55,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Marsden (RG4),1,0,0,0,0,0,0,0,0,161,913,22,0,0,0,0,0,1,0,0,0,0,0,0,100,0
Martindale Bungalow (RG1),1,0,1,0,0,0,100,0,0,45,234,63,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Mason Court (RG1),2,0,0,2,1,0,0,100,50,36,204,71,0,0,2,0,0,0,0,0,0,100,0,0,0,0
Mason Street (RG1),3,3,0,3,1,100,0,100,33,32,173,75,0,0,3,0,0,0,0,0,0,100,0,0,0,0
Meadow View (RG4),1,0,0,0,0,0,0,0,0,90,355,31,0,0,0,0,0,1,0,0,0,0,0,0,100,0
Merchants Place (RG1),12,12,0,12,12,100,0,100,100,40,245,76,0,1,10,1,0,0,0,0,8,83,8,0,0,0
Miel House (RG1),1,0,0,1,0,0,0,100,0,47,256,53,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Milford (RG2),2,0,0,2,0,0,0,100,0,63,394,38,0,0,0,1,0,0,1,0,0,0,50,0,0,50
Millennium Court (RG2),2,0,0,2,1,0,0,100,50,44,293,61,0,0,0,2,0,0,0,0,0,0,100,0,0,0
Mimosa (RG31),1,0,0,1,0,0,0,100,0,42,240,60,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Minster Street (RG1),2,0,0,2,1,0,0,100,50,51,339,57,0,0,0,2,0,0,0,0,0,0,100,0,0,0
Mirek (RG1),1,0,1,1,0,0,100,100,0,28,156,71,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Montague Street (RG1),3,1,0,3,0,33,0,100,0,83,515,49,0,0,0,1,2,0,0,0,0,0,33,67,0,0
Moorlands Primary School (RG30),1,0,0,1,0,0,0,100,0,78,468,38,0,0,0,0,0,1,0,0,0,0,0,0,100,0
Moulsford Mews (RG30),40,40,24,40,40,100,60,100,100,15,78,83,0,40,0,0,0,0,0,0,100,0,0,0,0,0
Mount Pleasant Grove (RG1),7,7,0,7,4,100,0,100,57,60,368,66,0,0,2,5,0,0,0,0,0,29,71,0,0,0
Muirfield Close (RG1),3,3,0,0,0,100,0,0,0,88,560,34,0,0,0,0,1,2,0,0,0,0,0,33,67,0
"Mulberry House (RG30, RG4)",3,0,0,3,2,0,0,100,67,30,176,72,0,0,3,0,0,0,0,0,0,100,0,0,0,0
Music Man (RG1),2,0,0,2,1,0,0,100,50,63,359,54,0,0,0,0,2,0,0,0,0,0,0,100,0,0
Muylinda House (RG1),1,0,0,1,1,0,0,100,100,0,210,83,0,1,0,0,0,0,0,0,100,0,0,0,0,0
NORTH GATE (RG4),1,0,0,0,0,0,0,0,0,37,230,61,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Nelson Road (RG4),8,8,0,8,0,100,0,100,0,34,196,74,0,0,7,1,0,0,0,0,0,88,12,0,0,0
Neuk (RG1),2,0,0,2,0,0,0,100,0,42,251,64,0,0,1,1,0,0,0,0,0,50,50,0,0,0
New Frogmore (RG4),1,0,0,1,1,0,0,100,100,27,148,73,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Newark Street (RG1),10,10,3,10,3,100,30,100,30,56,355,70,0,3,2,5,0,0,0,0,30,20,50,0,0,0
Newlands Avenue (RG4),7,5,0,0,0,71,0,0,0,55,315,56,0,0,0,4,2,1,0,0,0,0,57,29,14,0
Newlyn (RG4),2,0,0,2,0,0,0,100,0,37,210,62,0,0,0,2,0,0,0,0,0,0,100,0,0,0
Newport Road (RG1),1,1,0,1,0,100,0,100,0,40,229,69,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Newstead Rise (RG2),16,15,0,16,2,94,0,100,12,47,276,69,0,0,11,5,0,0,0,0,0,69,31,0,0,0
Nightingale House (RG2),8,8,8,8,2,100,100,100,25,30,179,76,0,1,7,0,0,0,0,0,12,88,0,0,0,0
North Gate (RG4),1,0,0,0,0,0,0,0,0,76,456,37,0,0,0,0,0,1,0,0,0,0,0,0,100,0
North House (RG1),1,0,0,1,0,0,0,100,0,31,176,69,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Northcourt Avenue (RG2),16,16,1,16,2,100,6,100,12,38,220,76,0,0,16,0,0,0,0,0,0,100,0,0,0,0
Northfield Road (RG1),5,5,0,5,0,100,0,100,0,79,464,67,0,0,2,3,0,0,0,0,0,40,60,0,0,0
Notley Place (RG4),4,3,2,0,2,75,50,0,50,87,519,52,0,0,1,1,1,1,0,0,0,25,25,25,25,0
Old Boundary House (RG4),1,0,0,0,0,0,0,0,0,56,318,52,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Old Forge Court (RG30),5,4,4,5,4,80,80,100,80,26,144,80,0,3,1,1,0,0,0,0,60,20,20,0,0,0
Osprey House (RG2),1,1,1,1,1,100,100,100,100,25,148,76,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Oswald House (RG1),3,3,0,3,0,100,0,100,0,42,243,67,0,0,2,1,0,0,0,0,0,67,33,0,0,0
Oxford Road (RG31),11,11,0,11,7,100,0,100,64,27,153,77,0,0,11,0,0,0,0,0,0,100,0,0,0,0
Padworth Avenue (RG2),23,23,23,23,23,100,100,100,100,25,146,77,0,3,20,0,0,0,0,0,13,87,0,0,0,0
Palmerstone Road (RG6),3,3,0,3,3,100,0,100,100,22,130,81,0,2,1,0,0,0,0,0,67,33,0,0,0,0
Park House (RG2),1,0,0,1,0,0,0,100,0,42,225,60,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Parkside Road (RG30),18,14,0,10,0,78,0,56,0,43,241,68,0,0,9,8,1,0,0,0,0,50,44,6,0,0
Paul Clarke (RG2),1,0,0,0,0,0,0,0,0,104,537,33,0,0,0,0,0,1,0,0,0,0,0,0,100,0
Pearsons Lodge (RG2),1,0,0,0,0,0,0,0,0,78,463,32,0,0,0,0,0,1,0,0,0,0,0,0,100,0
Peppard Road (RG4),10,9,1,10,1,90,10,100,10,66,404,64,0,0,2,7,1,0,0,0,0,20,70,10,0,0
Princes Court (RG1),6,6,0,6,6,100,0,100,100,41,261,70,0,0,3,3,0,0,0,0,0,50,50,0,0,0
Prophecy House (RG1),1,1,1,1,0,100,100,100,0,59,348,64,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Prospect Cottage (RG2),2,0,0,1,1,0,0,50,50,54,318,56,0,0,0,1,1,0,0,0,0,0,50,50,0,0
Queens Road (RG1),36,32,0,36,18,89,0,100,50,47,293,71,0,2,27,5,2,0,0,0,6,75,14,6,0,0
Ragan Court (RG1),1,1,0,1,1,100,0,100,100,21,111,79,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Randolph College (RG6),2,0,0,0,0,0,0,0,0,37,202,60,0,0,0,2,0,0,0,0,0,0,100,0,0,0
Ratchwood (RG4),1,0,0,1,0,0,0,100,0,41,214,58,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Reading (RG1),4,2,0,1,0,50,0,25,0,89,519,62,0,0,0,4,0,0,0,0,0,0,100,0,0,0
Rear Basement Studio (RG4),1,1,0,1,0,100,0,100,0,51,307,75,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Red Lion (RG1),1,0,0,0,1,0,0,0,100,85,442,35,0,0,0,0,0,1,0,0,0,0,0,0,100,0
Regis Park Road (RG6),7,7,4,7,7,100,57,100,100,19,113,85,0,4,3,0,0,0,0,0,57,43,0,0,0,0
Rembrandt Way (RG1),110,110,0,110,25,100,0,100,23,74,443,61,0,0,27,46,37,0,0,0,0,25,42,34,0,0
Reve House (RG4),1,0,0,1,1,0,0,100,100,11,90,80,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Richfield Avenue (RG1),18,17,0,18,14,94,0,100,78,48,294,65,0,0,7,10,1,0,0,0,0,39,56,6,0,0
Robin Hill (RG4),1,0,1,0,0,0,100,0,0,39,240,53,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Roebuck Ferry Cottage (RG31),1,0,0,0,0,0,0,0,0,172,1018,1,0,0,0,0,0,0,1,0,0,0,0,0,0,100
Royal County Hotel (RG1),1,0,0,1,0,0,0,100,0,39,221,62,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Rushley Way (RG2),19,19,5,19,19,100,26,100,100,61,346,63,0,0,1,18,0,0,0,0,0,5,95,0,0,0
Russell Street (RG1),4,4,0,4,2,100,0,100,50,36,199,74,0,0,4,0,0,0,0,0,0,100,0,0,0,0
SOUTHAMPTON STREET (RG1),2,2,0,2,2,100,0,100,100,41,244,72,0,0,2,0,0,0,0,0,0,100,0,0,0,0
ST. ANDREWS HOUSE (RG4),1,1,1,1,0,100,100,100,0,32,182,70,0,0,1,0,0,0,0,0,0,100,0,0,0,0
ST. JOHNS VICARAGE (RG4),1,0,0,1,0,0,0,100,0,35,189,67,0,0,0,1,0,0,0,0,0,0,100,0,0,0
SUMMER HILL (RG4),1,0,0,1,0,0,0,100,0,46,260,61,0,0,0,1,0,0,0,0,0,0,100,0,0,0
SUMMERFIELD (RG4),1,0,1,1,0,0,100,100,0,38,218,66,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Seafield Court (RG1),2,2,2,2,2,100,100,100,100,38,226,66,0,0,0,2,0,0,0,0,0,0,100,0,0,0
Shalimar House (RG30),2,2,0,2,2,100,0,100,100,22,136,84,0,2,0,0,0,0,0,0,100,0,0,0,0,0
Sheldon Rise (RG4),1,1,0,1,1,100,0,100,100,23,131,79,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Sherborne Court (RG2),3,3,0,3,3,100,0,100,100,23,140,83,0,3,0,0,0,0,0,0,100,0,0,0,0,0
Shilling Close (RG30),35,35,0,35,16,100,0,100,46,30,173,79,0,15,20,0,0,0,0,0,43,57,0,0,0,0
Shinfield Road (RG2),12,12,0,12,3,100,0,100,25,54,332,62,0,0,0,10,2,0,0,0,0,0,83,17,0,0
Shipnells Farm (RG4),2,0,0,0,0,0,0,0,0,38,242,56,0,0,0,2,0,0,0,0,0,0,100,0,0,0
Shiralee (RG4),1,0,1,1,0,0,100,100,0,31,159,70,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Sibleys of Caversham (RG4),1,0,0,1,0,0,0,100,0,62,368,46,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Sidmouth Street (RG1),16,16,0,11,3,100,0,69,19,84,512,62,0,0,4,9,3,0,0,0,0,25,56,19,0,0
Silchester Road (RG30),1,1,0,1,0,100,0,100,0,66,389,42,0,0,0,0,1,0,0,0,0,0,0,100,0,0
Silver Croft (RG4),1,0,0,1,0,0,0,100,0,113,663,7,0,0,0,0,0,0,1,0,0,0,0,0,0,100
Silver Street (RG1),5,5,3,5,0,100,60,100,0,40,236,72,0,0,5,0,0,0,0,0,0,100,0,0,0,0
Skylark House (RG2),15,15,15,15,15,100,100,100,100,26,155,78,0,0,15,0,0,0,0,0,0,100,0,0,0,0
South Hill (RG4),2,0,0,1,0,0,0,50,0,48,306,51,0,0,0,1,0,1,0,0,0,0,50,0,50,0
Southcote Farm Lane (RG30),2,2,0,1,0,100,0,50,0,90,436,49,0,0,0,0,2,0,0,0,0,0,0,100,0,0
Southcote Mill (RG30),2,1,0,1,1,50,0,50,50,72,346,43,0,0,0,0,2,0,0,0,0,0,0,100,0,0
Southglade (RG2),1,1,0,1,0,100,0,100,0,61,360,75,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Springfield Lodge (RG4),1,0,0,1,0,0,0,100,0,42,218,63,0,0,0,1,0,0,0,0,0,0,100,0,0,0
St. Agnes (RG4),2,0,0,0,0,0,0,0,0,36,196,62,0,0,0,2,0,0,0,0,0,0,100,0,0,0
St. Barnabas Road (RG4),15,14,8,15,0,93,53,100,0,58,356,66,0,0,5,10,0,0,0,0,0,33,67,0,0,0
St. Davids Hall Lodge (RG1),2,0,0,0,0,0,0,0,0,180,1114,6,0,0,0,0,0,0,2,0,0,0,0,0,0,100
St. Giles Close (RG1),14,10,2,14,7,71,14,100,50,41,247,69,0,1,8,4,0,1,0,0,7,57,29,0,7,0
St. Johns Vicarage (RG4),1,0,0,1,0,0,0,100,0,34,186,67,0,0,0,1,0,0,0,0,0,0,100,0,0,0
St. Margarets (RG4),1,0,1,1,0,0,100,100,0,55,285,46,0,0,0,0,1,0,0,0,0,0,0,100,0,0
St. Saviours Road (RG1),5,5,0,5,5,100,0,100,100,21,116,80,0,2,3,0,0,0,0,0,40,60,0,0,0,0
Stable Block (RG1),2,0,0,2,1,0,0,100,50,32,182,71,0,0,2,0,0,0,0,0,0,100,0,0,0,0
"Stable Cottage (RG1, RG2)",2,0,0,2,0,0,0,100,0,78,432,45,0,0,0,1,0,1,0,0,0,0,50,0,50,0
Stanley Grove (RG1),1,0,0,1,0,0,0,100,0,79,465,69,0,0,1,0,0,0,0,0,0,100,0,0,0,0
Star Road (RG4),13,13,7,13,4,100,54,100,31,34,195,74,0,2,10,1,0,0,0,0,15,77,8,0,0,0
Suffolk House (RG1),4,4,0,4,2,100,0,100,50,41,252,74,0,0,4,0,0,0,0,0,0,100,0,0,0,0
Sulham Place (RG30),6,6,6,6,6,100,100,100,100,22,134,80,0,2,4,0,0,0,0,0,33,67,0,0,0,0
Summit House (RG1),4,4,0,4,0,100,0,100,0,61,359,55,0,0,0,3,1,0,0,0,0,0,75,25,0,0
Sun Street (RG1),2,2,0,2,1,100,0,100,50,52,342,72,0,0,1,1,0,0,0,0,0,50,50,0,0,0
Sunlands (RG4),2,2,1,2,0,100,50,100,0,42,227,64,0,0,0,2,0,0,0,0,0,0,100,0,0,0
Sunwood (RG1),2,0,0,2,0,0,0,100,0,58,310,52,0,0,0,1,1,0,0,0,0,0,50,50,0,0
THE LODGE (RG1),1,0,0,1,0,0,0,100,0,49,281,54,0,0,0,0,1,0,0,0,0,0,0,100,0,0
THE MAISONETTE (RG1),1,0,0,1,0,0,0,100,0,50,283,66,0,0,0,1,0,0,0,0,0,0,100,0,0,0
THE ROEBUCK OXFORD ROAD (RG31),1,0,0,0,0,0,0,0,0,39,218,61,0,0,0,1,0,0,0,0,0,0,100,0,0,0
TILEHURST RECTORY (RG30),1,0,1,1,0,0,100,100,0,49,266,56,0,0,0,1,0,0,0,0,0,0,100,0,0,0
Talbot House (RG1),1,1,0,0,0,100,0,0,0,124,826,26,0,0,0,0,0,1,0,0,0,0,0,0,100,0
Tamar House (RG1),4,2,0,4,0,50,0,100,0,55,326,55,0,0,0,1,3,0,0,0,0,0,25,75,0,0
