road,num_properties,properties_roof_insulation,properties_walls_insulation,properties_windows_insulation,properties_floor_insulation,perc_properties_roof_insulation,perc_properties_walls_insulation,perc_properties_windows_insulation,perc_properties_floor_insulation,avg_CO2_emissions,avg_energy_consumption,avg_energy_efficiency,properties_A_rating,properties_B_rating,properties_C_rating,properties_D_rating,properties_E_rating,properties_F_rating,properties_G_rating,perc_properties_A_rating,perc_properties_B_rating,perc_properties_C_rating,perc_properties_D_rating,perc_properties_E_rating,perc_properties_F_rating,perc_properties_G_rating
 Tern Close (RG30),56,6,39,56,0,11,70,100,0,47,264,62,0,0,10,37,7,2,0,0,0,18,66,12,4,0
 Test Close (RG30),23,1,0,16,1,4,0,70,4,46,258,65,0,0,8,14,1,0,0,0,0,35,61,4,0,0
 Teviot Road (RG30),38,8,28,35,0,21,74,92,0,40,223,68,0,0,21,16,1,0,0,0,0,55,42,3,0,0
 Thames Avenue (RG1),19,0,2,16,1,0,11,84,5,57,330,54,0,0,1,9,8,1,0,0,0,5,47,42,5,0
 Thames Side (RG1),7,0,0,6,0,0,0,86,0,60,334,51,0,0,0,3,4,0,0,0,0,0,43,57,0,0
 The Brookmill (RG1),16,3,0,4,0,19,0,25,0,49,280,60,0,0,2,8,6,0,0,0,0,12,50,38,0,0
 The Cedars (RG31),14,1,4,14,1,7,29,100,7,38,214,63,0,0,3,10,1,0,0,0,0,21,71,7,0,0
 The Cloisters (RG4),10,6,0,10,1,60,0,100,10,72,424,66,0,0,4,6,0,0,0,0,0,40,60,0,0,0
 The Firs (RG1),7,6,2,7,0,86,29,100,0,58,362,57,0,0,1,4,1,1,0,0,0,14,57,14,14,0
 The Fishery (RG4),2,0,0,2,1,0,0,100,50,42,250,70,0,0,1,1,0,0,0,0,0,50,50,0,0,0
 The Forbury (RG1),7,7,5,7,0,100,71,100,0,47,280,52,0,0,0,3,4,0,0,0,0,0,43,57,0,0
 The Grange (RG4),7,0,1,7,0,0,14,100,0,37,205,65,0,0,2,5,0,0,0,0,0,29,71,0,0,0
 The Grove (RG1),16,4,2,15,1,25,12,94,6,56,307,54,0,1,0,9,4,2,0,0,6,0,56,25,12,0
 The Horse Close (RG4),21,2,6,21,0,10,29,100,0,61,344,51,0,0,1,8,9,3,0,0,0,5,38,43,14,0
 The Lawns (RG2),7,7,7,7,0,100,100,100,0,48,292,68,0,0,4,3,0,0,0,0,0,57,43,0,0,0
 The Maying (RG2),25,1,3,25,5,4,12,100,20,34,193,72,0,0,22,3,0,0,0,0,0,88,12,0,0,0
 The Meadway (RG30),104,15,77,100,3,14,74,96,3,43,238,64,0,5,42,38,15,3,1,0,5,40,37,14,3,1
" The Mount (RG1, RG4)",49,7,10,23,0,14,20,47,0,54,304,52,0,0,6,15,23,5,0,0,0,12,31,47,10,0
 The Old Lane (RG1),9,0,0,8,1,0,0,89,11,41,226,68,0,0,5,4,0,0,0,0,0,56,44,0,0,0
 The Plummery (RG1),7,4,0,7,1,57,0,100,14,35,198,72,0,0,6,1,0,0,0,0,0,86,14,0,0,0
 The Ridgeway (RG4),13,1,4,13,0,8,31,100,0,48,265,59,0,0,0,10,3,0,0,0,0,0,77,23,0,0
 The Ridings (RG4),16,0,12,15,0,0,75,94,0,47,263,60,0,1,3,8,4,0,0,0,6,19,50,25,0,0
 The Rise (RG4),3,2,1,2,0,67,33,67,0,50,266,59,0,0,0,3,0,0,0,0,0,0,100,0,0,0
 The Warren (RG4),2,0,0,2,0,0,0,100,0,30,164,70,0,0,1,1,0,0,0,0,0,50,50,0,0,0
 The Willows (RG4),32,12,7,25,0,38,22,78,0,51,290,63,0,0,13,14,5,0,0,0,0,41,44,16,0,0
 Thetford Mews (RG4),4,0,2,4,0,0,50,100,0,46,247,61,0,0,0,4,0,0,0,0,0,0,100,0,0,0
 Thicket Road (RG30),12,2,3,12,2,17,25,100,17,54,289,57,0,2,0,4,5,1,0,0,17,0,33,42,8,0
 Thirlmere Avenue (RG30),185,15,73,173,1,8,39,94,1,48,268,62,0,1,42,107,33,2,0,0,1,23,58,18,1,0
 Thornbridge Road (RG2),8,0,2,4,0,0,25,50,0,53,289,58,0,0,2,4,2,0,0,0,0,25,50,25,0,0
 Thornton Mews (RG30),17,2,7,16,1,12,41,94,6,39,218,69,0,1,8,8,0,0,0,0,6,47,47,0,0,0
 Thornton Road (RG30),3,0,2,3,0,0,67,100,0,48,257,61,0,0,0,3,0,0,0,0,0,0,100,0,0,0
 Thurlestone Gardens (RG2),12,1,7,10,0,8,58,83,0,49,277,62,0,0,3,6,3,0,0,0,0,25,50,25,0,0
 Thurso Close (RG30),19,15,12,19,0,79,63,100,0,78,471,60,0,0,2,13,4,0,0,0,0,11,68,21,0,0
 Tidman Road (RG2),69,69,69,69,69,100,100,100,100,13,75,85,0,69,0,0,0,0,0,0,100,0,0,0,0,0
 Tidmarsh Street (RG30),33,7,0,31,3,21,0,94,9,52,290,61,0,2,7,17,6,0,1,0,6,21,52,18,0,3
 Tigel Mews (RG30),10,1,0,7,6,10,0,70,60,32,185,73,0,0,9,1,0,0,0,0,0,90,10,0,0,0
" Tilehurst Road (RG1, RG30)",156,63,22,108,18,40,14,69,12,60,338,56,0,10,20,64,42,13,7,0,6,13,41,27,8,4
 Tintern Crescent (RG1),42,2,16,40,0,5,38,95,0,50,277,59,0,0,7,26,8,0,1,0,0,17,62,19,0,2
 Tippett Rise (RG2),43,43,4,43,1,100,9,100,2,64,392,59,0,0,3,31,7,2,0,0,0,7,72,16,5,0
 Tofrek Terrace (RG30),15,3,6,13,1,20,40,87,7,44,249,62,0,0,3,9,3,0,0,0,0,20,60,20,0,0
 Torrington Road (RG2),36,6,22,35,0,17,61,97,0,50,277,60,0,0,11,18,5,0,2,0,0,31,50,14,0,6
 Totnes Road (RG2),7,3,5,6,0,43,71,86,0,42,236,66,0,0,5,1,1,0,0,0,0,71,14,14,0,0
 Tower Close (RG4),14,1,11,12,0,7,79,86,0,49,281,58,0,0,0,11,2,1,0,0,0,0,79,14,7,0
 Town Place (RG1),4,0,0,3,0,0,0,75,0,64,347,60,0,0,1,1,2,0,0,0,0,25,25,50,0,0
 Tredegar Road (RG4),54,3,10,53,11,6,19,98,20,46,254,60,0,0,9,31,14,0,0,0,0,17,57,26,0,0
 Tree Close (RG30),4,0,2,4,0,0,50,100,0,49,278,60,0,0,0,3,1,0,0,0,0,0,75,25,0,0
 Treforgan (RG4),13,1,4,12,2,8,31,92,15,43,251,61,0,0,0,11,2,0,0,0,0,0,85,15,0,0
 Trelleck Road (RG1),29,3,11,28,0,10,38,97,0,50,278,57,0,0,6,14,6,2,1,0,0,21,48,21,7,3
 Trinity Place (RG1),3,3,2,3,0,100,67,100,0,40,242,77,0,0,3,0,0,0,0,0,0,100,0,0,0,0
 Troon Court (RG1),1,1,0,1,0,100,0,100,0,50,304,72,0,0,1,0,0,0,0,0,0,100,0,0,0,0
 Tuns Hill Cottages (RG6),21,2,1,15,2,10,5,71,10,55,322,61,0,0,7,9,4,1,0,0,0,33,43,19,5,0
 Tupsley Road (RG1),6,1,1,6,0,17,17,100,0,45,254,64,0,0,2,3,1,0,0,0,0,33,50,17,0,0
 Tuscan Close (RG30),26,1,6,22,1,4,23,85,4,45,251,67,0,0,7,18,1,0,0,0,0,27,69,4,0,0
 Tuxford Mews (RG30),15,0,6,15,0,0,40,100,0,55,297,56,0,0,2,9,3,1,0,0,0,13,60,20,7,0
 Tweed Court (RG30),6,6,2,1,0,100,33,17,0,121,708,48,0,0,0,3,1,2,0,0,0,0,50,17,33,0
 Twin Oaks (RG4),14,4,7,12,0,29,50,86,0,39,217,65,0,0,6,6,2,0,0,0,0,43,43,14,0,0
 Tyberton Place (RG1),6,1,3,6,0,17,50,100,0,44,254,58,0,0,3,2,0,1,0,0,0,50,33,0,17,0
 Tyle Road (RG30),8,1,0,8,2,12,0,100,25,40,224,65,0,0,2,5,1,0,0,0,0,25,62,12,0,0
 Tyler Close (RG4),11,0,1,11,0,0,9,100,0,40,226,65,0,0,6,3,1,1,0,0,0,55,27,9,9,0
 Tylers Place (RG30),6,6,0,2,0,100,0,33,0,54,318,69,0,0,3,3,0,0,0,0,0,50,50,0,0,0
 Tylorstown (RG4),7,0,1,7,2,0,14,100,29,45,241,60,0,0,1,4,2,0,0,0,0,14,57,29,0,0
 Tymawr (RG4),34,0,2,34,16,0,6,100,47,33,193,70,0,0,21,13,0,0,0,0,0,62,38,0,0,0
 Uffington Close (RG31),14,3,6,14,0,21,43,100,0,52,283,56,0,0,1,6,7,0,0,0,0,7,43,50,0,0
 Ullswater Drive (RG31),3,0,0,3,1,0,0,100,33,41,243,61,0,0,0,3,0,0,0,0,0,0,100,0,0,0
 Ulster Close (RG4),12,1,6,12,0,8,50,100,0,46,260,62,0,0,4,6,2,0,0,0,0,33,50,17,0,0
 Underwood Road (RG30),15,1,11,15,2,7,73,100,13,34,192,70,0,1,8,6,0,0,0,0,7,53,40,0,0,0
 Unity Court (RG4),6,6,0,6,0,100,0,100,0,60,361,64,0,0,1,4,1,0,0,0,0,17,67,17,0,0
 Upavon Drive (RG1),8,0,6,8,0,0,75,100,0,67,384,50,0,0,0,5,1,1,1,0,0,0,62,12,12,12
 Uplands Road (RG4),10,0,3,5,0,0,30,50,0,56,325,54,0,0,0,5,5,0,0,0,0,0,50,50,0,0
 Upper Crown Street (RG1),46,2,3,35,2,4,7,76,4,55,314,58,0,0,8,23,12,1,2,0,0,17,50,26,2,4
 Upper Meadow Road (RG2),25,1,2,25,0,4,8,100,0,39,212,69,0,0,11,14,0,0,0,0,0,44,56,0,0,0
 Upper Redlands Road (RG1),53,16,9,26,12,30,17,49,23,46,268,59,0,10,4,17,15,7,0,0,19,8,32,28,13,0
 Upper Warren Avenue (RG4),9,1,3,6,1,11,33,67,11,44,249,57,0,1,1,2,5,0,0,0,11,11,22,56,0,0
 Upper Woodcote Road (RG4),56,5,16,47,5,9,29,84,9,50,287,55,0,4,6,24,13,7,2,0,7,11,43,23,12,4
 Uppingham Gardens (RG4),4,0,2,4,0,0,50,100,0,45,244,58,0,0,0,3,1,0,0,0,0,0,75,25,0,0
 Upton Road (RG30),5,5,2,5,0,100,40,100,0,47,276,66,0,0,2,3,0,0,0,0,0,40,60,0,0,0
 Usk Road (RG30),83,11,66,79,0,13,80,95,0,40,227,67,0,2,43,32,5,1,0,0,2,52,39,6,1,0
 Vachel Road (RG1),11,9,0,10,1,82,0,91,9,55,335,70,0,0,6,5,0,0,0,0,0,55,45,0,0,0
 Vale Crescent (RG30),36,3,27,36,1,8,75,100,3,44,251,65,0,3,11,18,4,0,0,0,8,31,50,11,0,0
 Valentia Road (RG30),36,8,4,28,10,22,11,78,28,43,245,65,0,5,7,17,7,0,0,0,14,19,47,19,0,0
 Valentine Crescent (RG4),25,3,0,24,0,12,0,96,0,59,333,54,0,0,2,11,10,2,0,0,0,8,44,40,8,0
 Valley Close (RG4),5,0,1,5,0,0,20,100,0,51,283,60,0,0,1,3,1,0,0,0,0,20,60,20,0,0
 Vastern Road (RG1),13,2,1,10,1,15,8,77,8,74,429,49,0,0,1,3,6,2,1,0,0,8,23,46,15,8
 Venetia Close (RG4),11,2,5,8,1,18,45,73,9,43,230,63,0,1,0,9,1,0,0,0,9,0,82,9,0,0
 Ventnor Road (RG31),9,1,8,9,0,11,89,100,0,34,191,68,0,0,5,4,0,0,0,0,0,56,44,0,0,0
 Vermont Street (RG2),10,10,3,10,10,100,30,100,100,15,88,83,0,10,0,0,0,0,0,0,100,0,0,0,0,0
 Verney Mews (RG30),16,2,7,16,0,12,44,100,0,52,292,61,0,0,6,6,3,1,0,0,0,38,38,19,6,0
 Vernon Crescent (RG2),13,0,7,12,0,0,54,92,0,46,265,61,0,0,4,6,2,1,0,0,0,31,46,15,8,0
 Vicarage Road (RG2),8,0,5,6,2,0,62,75,25,44,249,58,0,0,4,1,1,2,0,0,0,50,12,12,25,0
" Victoria Road (RG31, RG4)",36,8,4,33,6,22,11,92,17,45,250,60,1,0,9,15,9,1,1,3,0,25,42,25,3,3
 Victoria Street (RG1),25,6,1,18,1,24,4,72,4,53,306,58,0,0,4,16,3,0,2,0,0,16,64,12,0,8
